player,playerid,subtype,Shots Made,Total Shots,FG%
A. Burks,202692,Cutting Layup Shot,2.0,3.0,66.66666666666666
A. Burks,202692,Driving Finger Roll Layup Shot,3.0,10.0,30.0
A. Burks,202692,Driving Floating Bank Jump Shot,4.0,8.0,50.0
A. Burks,202692,Driving Floating Jump Shot,7.0,16.0,43.75
A. Burks,202692,Driving Hook Shot,0.0,1.0,0.0
A. Burks,202692,Driving Layup Shot,14.0,25.0,56.00000000000001
A. Burks,202692,Driving Reverse Layup Shot,2.0,3.0,66.66666666666666
A. Burks,202692,Fadeaway Jump Shot,3.0,14.0,21.428571428571427
A. Burks,202692,Floating Jump shot,3.0,8.0,37.5
A. Burks,202692,Hook Bank Shot,0.0,1.0,0.0
A. Burks,202692,Hook Shot,1.0,1.0,100.0
A. Burks,202692,Jump Shot,59.0,149.0,39.59731543624161
A. Burks,202692,Layup Shot,2.0,5.0,40.0
A. Burks,202692,Pullup Jump shot,67.0,151.0,44.370860927152314
A. Burks,202692,Reverse Layup Shot,1.0,3.0,33.33333333333333
A. Burks,202692,Running Dunk Shot,1.0,1.0,100.0
A. Burks,202692,Running Finger Roll Layup Shot,1.0,1.0,100.0
A. Burks,202692,Running Jump Shot,3.0,5.0,60.0
A. Burks,202692,Running Layup Shot,1.0,2.0,50.0
A. Burks,202692,Running Pull-Up Jump Shot,4.0,8.0,50.0
A. Burks,202692,Running Reverse Layup Shot,1.0,1.0,100.0
A. Burks,202692,Step Back Jump shot,7.0,12.0,58.333333333333336
A. Burks,202692,Tip Layup Shot,2.0,5.0,40.0
A. Burks,202692,Turnaround Fadeaway Bank Jump Shot,1.0,1.0,100.0
A. Burks,202692,Turnaround Fadeaway shot,10.0,21.0,47.61904761904761
A. Burks,202692,Turnaround Jump Shot,1.0,4.0,25.0
A. Caruso,1627936,Alley Oop Layup shot,1.0,1.0,100.0
A. Caruso,1627936,Cutting Dunk Shot,1.0,1.0,100.0
A. Caruso,1627936,Cutting Finger Roll Layup Shot,0.0,1.0,0.0
A. Caruso,1627936,Cutting Layup Shot,16.0,19.0,84.21052631578947
A. Caruso,1627936,Driving Dunk Shot,1.0,1.0,100.0
A. Caruso,1627936,Driving Finger Roll Layup Shot,4.0,5.0,80.0
A. Caruso,1627936,Driving Floating Bank Jump Shot,0.0,2.0,0.0
A. Caruso,1627936,Driving Floating Jump Shot,0.0,1.0,0.0
A. Caruso,1627936,Driving Hook Shot,0.0,1.0,0.0
A. Caruso,1627936,Driving Layup Shot,15.0,24.0,62.5
A. Caruso,1627936,Driving Reverse Layup Shot,1.0,1.0,100.0
A. Caruso,1627936,Fadeaway Jump Shot,1.0,3.0,33.33333333333333
A. Caruso,1627936,Finger Roll Layup Shot,0.0,1.0,0.0
A. Caruso,1627936,Floating Jump shot,1.0,4.0,25.0
A. Caruso,1627936,Jump Bank Shot,0.0,1.0,0.0
A. Caruso,1627936,Jump Shot,55.0,147.0,37.41496598639456
A. Caruso,1627936,Layup Shot,2.0,5.0,40.0
A. Caruso,1627936,Pullup Jump shot,7.0,23.0,30.434782608695656
A. Caruso,1627936,Putback Layup Shot,1.0,2.0,50.0
A. Caruso,1627936,Reverse Layup Shot,3.0,4.0,75.0
A. Caruso,1627936,Running Dunk Shot,3.0,4.0,75.0
A. Caruso,1627936,Running Finger Roll Layup Shot,6.0,8.0,75.0
