,player,playerid,subtype,Shots Made,Total Shots,FG%,Average FG%,FG% Difference
0,A. Burks,202692,Cutting Layup Shot,2.0,3.0,66.66666666666666,70.33553076619971,-3.668864099533053
1,A. Burks,202692,Driving Finger Roll Layup Shot,3.0,10.0,30.0,62.785599786476254,-32.785599786476254
2,A. Burks,202692,Driving Floating Bank Jump Shot,4.0,8.0,50.0,49.67574935067332,0.3242506493266788
3,A. Burks,202692,Driving Floating Jump Shot,7.0,16.0,43.75,38.248881327329954,5.501118672670046
4,A. Burks,202692,Driving Hook Shot,0.0,1.0,0.0,36.96562291925158,-36.96562291925158
5,A. Burks,202692,Driving Layup Shot,14.0,25.0,56.00000000000001,45.01602024096154,10.98397975903847
6,A. Burks,202692,Driving Reverse Layup Shot,2.0,3.0,66.66666666666666,55.503298940477,11.163367726189655
7,A. Burks,202692,Fadeaway Jump Shot,3.0,14.0,21.428571428571427,33.9661008403559,-12.537529411784472
8,A. Burks,202692,Floating Jump shot,3.0,8.0,37.5,40.775771321052716,-3.2757713210527157
9,A. Burks,202692,Hook Bank Shot,0.0,1.0,0.0,59.23952165331475,-59.23952165331475
10,A. Burks,202692,Hook Shot,1.0,1.0,100.0,45.452274267381924,54.547725732618076
11,A. Burks,202692,Jump Shot,59.0,149.0,39.59731543624161,33.64356279966131,5.9537526365802975
12,A. Burks,202692,Layup Shot,2.0,5.0,40.0,50.050333235610644,-10.050333235610644
13,A. Burks,202692,Pullup Jump shot,67.0,151.0,44.370860927152314,36.23884787401714,8.132013053135175
14,A. Burks,202692,Reverse Layup Shot,1.0,3.0,33.33333333333333,65.23393086838465,-31.90059753505132
15,A. Burks,202692,Running Dunk Shot,1.0,1.0,100.0,91.51696398565736,8.483036014342645
16,A. Burks,202692,Running Finger Roll Layup Shot,1.0,1.0,100.0,76.7796157826837,23.220384217316294
17,A. Burks,202692,Running Jump Shot,3.0,5.0,60.0,35.632052842171824,24.367947157828176
18,A. Burks,202692,Running Layup Shot,1.0,2.0,50.0,59.5547097295744,-9.554709729574398
19,A. Burks,202692,Running Pull-Up Jump Shot,4.0,8.0,50.0,36.13965874933622,13.86034125066378
20,A. Burks,202692,Running Reverse Layup Shot,1.0,1.0,100.0,66.85028296356421,33.14971703643579
21,A. Burks,202692,Step Back Jump shot,7.0,12.0,58.333333333333336,35.079155343934865,23.25417798939847
22,A. Burks,202692,Tip Layup Shot,2.0,5.0,40.0,48.863007269564854,-8.863007269564854
23,A. Burks,202692,Turnaround Fadeaway Bank Jump Shot,1.0,1.0,100.0,51.76767676767677,48.23232323232323
24,A. Burks,202692,Turnaround Fadeaway shot,10.0,21.0,47.61904761904761,34.199880691471094,13.41916692757652
25,A. Burks,202692,Turnaround Jump Shot,1.0,4.0,25.0,39.10629512709983,-14.106295127099827
26,A. Caruso,1627936,Alley Oop Layup shot,1.0,1.0,100.0,64.09031610879916,35.90968389120084
27,A. Caruso,1627936,Cutting Dunk Shot,1.0,1.0,100.0,90.09392817477068,9.906071825229319
28,A. Caruso,1627936,Cutting Finger Roll Layup Shot,0.0,1.0,0.0,79.81783739136681,-79.81783739136681
29,A. Caruso,1627936,Cutting Layup Shot,16.0,19.0,84.21052631578947,70.33553076619971,13.874995549589755
30,A. Caruso,1627936,Driving Dunk Shot,1.0,1.0,100.0,78.87124625983606,21.128753740163944
